name,sex,bucket,event_year,year,t,count,rank,log_count,proj_log_count,dev_log_count,proj_rank,dev_rank
Ellen,F,sensitive,1997,1999,2,675,413.0,6.516193076042964,7.016984307880065,-0.5007912318371011,246.399999999996,-166.600000000004
Ellen,F,sensitive,1997,2000,3,632,449.0,6.450470422144176,6.988672748466257,-0.5382023263220814,251.39999999999418,-197.60000000000582
Ellen,F,sensitive,1997,2001,4,609,455.0,6.413458957167357,6.960361189052442,-0.5469022318850847,256.39999999999236,-198.60000000000764
Ellen,F,sensitive,1997,2002,5,590,476.0,6.3818160174060985,6.932049629638634,-0.5502336122325353,261.39999999999054,-214.60000000000946
Donald,M,sensitive,2015,2010,-5,765,377.0,6.641182169740591,6.650565152821542,-0.009382983080951313,373.2000000000007,-3.7999999999992724
Donald,M,sensitive,2015,2011,-4,788,377.0,6.670766320845874,6.632978913958802,0.03778740688707227,385.5,8.5
Donald,M,sensitive,2015,2012,-3,729,400.0,6.593044534142437,6.615392675096061,-0.02234814095362392,397.7999999999993,-2.2000000000007276
Donald,M,sensitive,2015,2013,-2,710,416.0,6.566672429803241,6.59780643623332,-0.031134006430079353,410.1000000000022,-5.899999999997817
Donald,M,sensitive,2015,2014,-1,738,419.0,6.6052979209482015,6.580220197370579,0.02507772357762228,422.40000000000146,3.400000000001455
Donald,M,sensitive,2015,2015,0,695,440.0,6.54534966033442,6.562633958507838,-0.017284298173418478,434.7000000000007,-5.299999999999272
Donald,M,sensitive,2015,2016,1,625,489.0,6.439350371100098,6.5450477196450905,-0.10569734854499213,447.0,-42.0
Donald,M,sensitive,2015,2017,2,602,486.0,6.401917196727186,6.52746148078235,-0.12554428405516393,459.2999999999993,-26.700000000000728
Donald,M,sensitive,2015,2018,3,540,525.0,6.293419278846481,6.509875241919609,-0.21645596307312776,471.6000000000022,-53.39999999999782
Donald,M,sensitive,2015,2019,4,510,551.0,6.236369590203704,6.492289003056868,-0.25591941285316366,483.90000000000146,-67.09999999999854
Donald,M,sensitive,2015,2020,5,449,608.0,6.1092475827643655,6.474702764194127,-0.36545518142976174,496.2000000000007,-111.79999999999927
Hillary,F,sensitive,2016,2011,-5,166,1378.0,5.117993812416755,5.117624537418536,0.00036927499821981513,1381.8000000000247,3.8000000000247383
Hillary,F,sensitive,2016,2012,-4,157,1452.0,5.062595033026967,5.092839413287827,-0.03024438026085985,1410.3000000000247,-41.69999999997526
Hillary,F,sensitive,2016,2013,-3,154,1451.0,5.043425116919247,5.068054289157125,-0.024629172237878194,1438.800000000032,-12.199999999967986
Hillary,F,sensitive,2016,2014,-2,177,1333.0,5.181783550292085,5.043269165026423,0.13851438526566184,1467.300000000032,134.30000000003201
Hillary,F,sensitive,2016,2015,-1,138,1580.0,4.9344739331306915,5.018484040895721,-0.08401010776502993,1495.800000000032,-84.19999999996799
Hillary,F,sensitive,2016,2016,0,172,1367.0,5.153291594497779,4.99369891676502,0.15959267773275965,1524.300000000032,157.30000000003201
Hillary,F,sensitive,2016,2017,1,63,2711.0,4.1588830833596715,4.968913792634318,-0.8100307092746464,1552.800000000032,-1158.199999999968
Hillary,F,sensitive,2016,2018,2,49,3243.0,3.912023005428146,4.944128668503616,-1.0321056630754701,1581.300000000032,-1661.699999999968
Hillary,F,sensitive,2016,2019,3,45,3446.0,3.828641396489095,4.919343544372914,-1.0907021478838193,1609.8000000000393,-1836.1999999999607
Hillary,F,sensitive,2016,2020,4,52,3059.0,3.970291913552122,4.894558420242205,-0.9242665066900835,1638.3000000000393,-1420.6999999999607
Hillary,F,sensitive,2016,2021,5,60,2817.0,4.110873864173311,4.869773296111504,-0.7588994319381923,1666.8000000000393,-1150.1999999999607
Karen,F,sensitive,2018,2013,-5,730,416.0,6.594413459749778,6.562542753568891,0.03187070618088672,437.00000000001455,21.000000000014552
Karen,F,sensitive,2018,2014,-4,633,494.0,6.452048954437226,6.5043750059152075,-0.05232605147798175,466.400000000016,-27.599999999983993
Karen,F,sensitive,2018,2015,-3,627,505.0,6.4425401664681985,6.446207258261509,-0.003667091793310817,495.80000000001746,-9.199999999982538
Karen,F,sensitive,2018,2016,-2,616,508.0,6.424869023905388,6.388039510607825,0.03682951329756268,525.2000000000189,17.200000000018917
Karen,F,sensitive,2018,2017,-1,553,556.0,6.317164686747284,6.3298717629541414,-0.012707076206857515,554.6000000000204,-1.3999999999796273
Karen,F,sensitive,2018,2018,0,469,636.0,6.152732694704104,6.2717040153004575,-0.11897132059635318,584.0000000000146,-51.99999999998545
Karen,F,sensitive,2018,2019,1,439,661.0,6.0867747269123065,6.213536267646774,-0.1267615407344671,613.400000000016,-47.59999999998399
Karen,F,sensitive,2018,2020,2,331,821.0,5.805134968916488,6.15536851999309,-0.3502335510766015,642.8000000000175,-178.19999999998254
Karen,F,sensitive,2018,2021,3,229,1088.0,5.438079308923196,6.097200772339406,-0.6591214634162101,672.2000000000189,-415.7999999999811
Karen,F,sensitive,2018,2022,4,199,1210.0,5.298317366548036,6.039033024685722,-0.7407156581376855,701.6000000000204,-508.3999999999796
Karen,F,sensitive,2018,2023,5,224,1092.0,5.41610040220442,5.980865277032038,-0.5647648748276177,731.0000000000218,-360.9999999999782
Alexa,F,brand,2014,2009,-5,5310,43.0,8.577535420422398,8.575765754191735,0.0017696662306629918,44.79999999999745,1.7999999999974534
Alexa,F,brand,2014,2010,-4,5043,50.0,8.52595469708481,8.508222643153601,0.01773205393120847,48.89999999999782,-1.1000000000021828
Alexa,F,brand,2014,2011,-3,4510,55.0,8.414274137408396,8.440679532115439,-0.026405394707042618,52.99999999999818,-2.000000000001819
Alexa,F,brand,2014,2012,-2,4296,57.0,8.365672383774996,8.373136421077277,-0.007464037302280957,57.099999999998545,0.09999999999854481
Alexa,F,brand,2014,2013,-1,4104,60.0,8.31996102188653,8.305593310039114,0.01436771184741481,61.19999999999709,1.1999999999970896
Alexa,F,brand,2014,2014,0,4249,64.0,8.354674261918463,8.238050199000952,0.11662406291751104,65.29999999999745,1.2999999999974534
Alexa,F,brand,2014,2015,1,6053,32.0,8.708474489581665,8.170507087962818,0.5379674016188467,69.39999999999782,37.39999999999782
Alexa,F,brand,2014,2016,2,4775,51.0,8.471358655072438,8.102963976924656,0.3683946781477818,73.49999999999818,22.49999999999818
Alexa,F,brand,2014,2017,3,3895,66.0,8.267705664762426,8.035420865886493,0.23228479887593245,77.59999999999673,11.599999999996726
Alexa,F,brand,2014,2018,4,3066,90.0,8.028455164114252,7.967877754848331,0.060577409265921034,81.69999999999709,-8.30000000000291
Alexa,F,brand,2014,2019,5,2002,139.0,7.602401335665818,7.900334643810197,-0.2979333081443789,85.79999999999745,-53.20000000000255
